@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,1,https://api.elsevier.com/content/author/author_id/26532770200,26532770200,Giorgio E.M.,Giorgio,Ernesto Martín,E.M.,true,60004820,1,NA
true,2,https://api.elsevier.com/content/author/author_id/29967503100,29967503100,Villalba L.L.,Villalba,Laura Lidia,L.L.,true,60004820,1,NA
true,3,https://api.elsevier.com/content/author/author_id/6603444286,6603444286,Robledo G.L.,Robledo,Gerardo Lucio,G.L.,true,60000658,1,NA
true,4,https://api.elsevier.com/content/author/author_id/7005695187,7005695187,Zapata P.D.,Zapata,Pedro Darío,P.D.,true,60004820,1,NA
true,5,https://api.elsevier.com/content/author/author_id/6506200849,6506200849,Saparrat M.C.N.,Saparrat,Mario Carlos Nazareno,M.C.N.,true,60109485,1,NA
true,1,https://api.elsevier.com/content/author/author_id/56872915400,56872915400,Román-Palacios C.,Román-Palacios,Cristian,C.,true,60010065,2,NA
true,2,https://api.elsevier.com/content/author/author_id/55913913700,55913913700,Valencia-Zuleta A.,Valencia-Zuleta,Alejandro,A.,true,60027136,2,NA
true,1,https://api.elsevier.com/content/author/author_id/55352528500,55352528500,Masin C.,Masin,Carolina Elisabet,C.E.,true,60032258,3,NA
true,2,https://api.elsevier.com/content/author/author_id/7003932307,7003932307,Momo F.,Momo,Fernando Roberto,F.R.,true,60006692,3,NA
true,3,https://api.elsevier.com/content/author/author_id/6701321658,6701321658,Zalazar C.,Zalazar,Cristina Susana,C.S.,true,60032258,3,NA
true,4,https://api.elsevier.com/content/author/author_id/54786970100,54786970100,Rodríguez A.,Rodríguez,Alba Rut,A.R.,true,60008547,3,NA
true,1,https://api.elsevier.com/content/author/author_id/57214546025,57214546025,Ramírez Y.,Ramírez,Yuly Paulina,Y.P.,true,113006240,4,NA
true,2,https://api.elsevier.com/content/author/author_id/35096226200,35096226200,Giraldo L.,Giraldo,Lina Paola,L.P.,true,113006240,4,NA
true,3,https://api.elsevier.com/content/author/author_id/35097053400,35097053400,Zúñiga M.,Zúñiga,María Del Carmen,M.D.C.,true,113006240,4,NA
true,4,https://api.elsevier.com/content/author/author_id/57189044138,57189044138,Ramos B.,Ramos,Blanca Cecilia,B.C.,true,60066812,4,NA
true,5,https://api.elsevier.com/content/author/author_id/57203230994,57203230994,Chará J.,Chará,Julián,J.,true,113006240,4,NA
true,1,https://api.elsevier.com/content/author/author_id/56541745900,56541745900,Kuzmanich N.,Kuzmanich,Nicolás,N.,true,60000658,5,NA
true,2,https://api.elsevier.com/content/author/author_id/9740841400,9740841400,Giorgis M.,Giorgis,Melisa A.,M.A.,true,60000658,5,NA
true,3,https://api.elsevier.com/content/author/author_id/7003782599,7003782599,Salvo A.,Salvo,Adriana,A.,true,60000658,5,NA
true,1,https://api.elsevier.com/content/author/author_id/57203992877,57203992877,Kanhai A.,Kanhai,Attish,A.,true,60071714,6,NA
true,2,https://api.elsevier.com/content/author/author_id/8638585100,8638585100,Juman R.,Juman,Rahanna,R.,true,60071714,6,NA
true,1,https://api.elsevier.com/content/author/author_id/8608451200,8608451200,Rondón M.,Rondón,María,M.,true,60002439,7,NA
true,2,https://api.elsevier.com/content/author/author_id/7101931430,7101931430,Velasco J.,Velasco,Judith,J.,true,60002439,7,NA
true,3,https://api.elsevier.com/content/author/author_id/8608451000,8608451000,Rojas J.,Rojas,Janne,J.,true,60002439,7,NA
true,4,https://api.elsevier.com/content/author/author_id/57050260800,57050260800,Gámez L.,Gámez,Luis,L.,true,60002439,7,NA
true,5,https://api.elsevier.com/content/author/author_id/57203985623,57203985623,León G.,León,Gudberto,G.,true,60002439,7,NA
true,6,https://api.elsevier.com/content/author/author_id/57203979747,57203979747,Entralgo E.,Entralgo,Efraín,E.,true,60002439,7,NA
true,7,https://api.elsevier.com/content/author/author_id/24562097600,24562097600,Morales A.,Morales,Antonio,A.,true,60002439,7,NA
true,1,https://api.elsevier.com/content/author/author_id/57203983654,57203983654,Díaz T.A.,Díaz,Trinidad Aguilar,T.A.,true,60015438,8,NA
true,2,https://api.elsevier.com/content/author/author_id/56285906500,56285906500,Bertolini V.,Bertolini,Vincenzo,V.,true,60015438,8,NA
true,3,https://api.elsevier.com/content/author/author_id/8722092000,8722092000,Castañeda G.C.,Castañeda,Guillermo Carrillo,G.C.,true,60033065,8,NA
true,4,https://api.elsevier.com/content/author/author_id/57203985698,57203985698,Navarro G.K.G.,Navarro,Griselda Karina Guillén,G.K.G.,true,60015438,8,NA
true,5,https://api.elsevier.com/content/author/author_id/57203987217,57203987217,Fajardo L.V.G.,Fajardo,Luz Verónica García,L.V.G.,true,60015438,8,NA
true,6,https://api.elsevier.com/content/author/author_id/57203992927,57203992927,Chan R.A.C.,Chan,Ricardo Alberto Castro,R.A.C.,true,60015438,8,NA
true,1,https://api.elsevier.com/content/author/author_id/57203991438,57203991438,Godoy M.,Godoy,Marcela,M.,true,60026501,9,NA
true,2,https://api.elsevier.com/content/author/author_id/6602474011,6602474011,Kehr A.,Kehr,Arturo,A.,true,60029992,9,NA
true,3,https://api.elsevier.com/content/author/author_id/6602570730,6602570730,Lavia G.,Lavia,Graciela,G.,true,60018064,9,NA
true,1,https://api.elsevier.com/content/author/author_id/56958561200,56958561200,de Rodrigáñez M.S.,de Rodrigáñez,Miguel Saenz,M.S.,true,60013281,10,NA
