@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/57191286519,57191286519,0000-0002-6069-6252,Segura-Ulate I.,Segura-Ulate,Ismael,I.,true,60071929,1
true,2,https://api.elsevier.com/content/author/author_id/57202892730,57202892730,0000-0001-7305-2248,Bolívar-González A.,Bolívar-González,Alejandro,A.,true,60071929,1
true,3,https://api.elsevier.com/content/author/author_id/56491227200,56491227200,0000-0002-9856-4044,Madrigal-Redondo G.,Madrigal-Redondo,Germán,G.,true,60071929,1
true,4,https://api.elsevier.com/content/author/author_id/57196467838,57196467838,0000-0003-4342-6223,Nuñez-Corrales S.,Nuñez-Corrales,Santiago,S.,true,60000745,1
true,5,https://api.elsevier.com/content/author/author_id/23477349100,23477349100,0000-0002-3841-0238,Gatica-Arias A.,Gatica-Arias,Andrés,A.,true,60071929,1
true,1,https://api.elsevier.com/content/author/author_id/26664377800,26664377800,0000-0003-1389-8908,Avila I.C.,Avila,Isabel Cristina,I.C.,true,60066812,2
true,2,https://api.elsevier.com/content/author/author_id/7005608949,7005608949,0000-0001-9182-888X,Giraldo A.,Giraldo,Alan,A.,true,60066812,2
true,1,https://api.elsevier.com/content/author/author_id/56868544100,56868544100,0000-0003-2152-7875,Santiago-Valentín J.D.,Santiago-Valentín,Jeimy D.,J.D.,true,60008943,3
true,2,https://api.elsevier.com/content/author/author_id/35766630100,35766630100,0000-0001-6243-7679,Rodríguez-Troncoso A.P.,Rodríguez-Troncoso,Alma P.,A.P.,true,60008943,3
true,3,https://api.elsevier.com/content/author/author_id/14324261300,14324261300,0000-0002-4975-1767,Bautista-Guerrero E.,Bautista-Guerrero,Eric,E.,true,60008943,3
true,4,https://api.elsevier.com/content/author/author_id/57449777000,57449777000,0000-0003-1246-7401,López-Pérez A.,López-Pérez,Andrés,A.,true,60014923,3
true,5,https://api.elsevier.com/content/author/author_id/6508288685,6508288685,0000-0002-6455-1253,Cupul-Magaña A.L.,Cupul-Magaña,Amílcar L.,A.L.,true,60008943,3
true,1,https://api.elsevier.com/content/author/author_id/57672550800,57672550800,0000-0002-5975-4515,Quiroz-Lobo Y.,Quiroz-Lobo,Yeinner,Y.,true,60109397,4
true,2,https://api.elsevier.com/content/author/author_id/55620624800,55620624800,0000-0002-9235-3844,Santafé-Patiño G.,Santafé-Patiño,Gilmar,G.,true,60109397,4
true,3,https://api.elsevier.com/content/author/author_id/36810478200,36810478200,0000-0003-2618-3282,Quirós-Rodríguez J.A.,Quirós-Rodríguez,Jorge A.,J.A.,true,60109397,4
